iter	Passed	Remaining
0	1	169
1	3	155
2	4	142
3	5	127
4	6	124
5	7	118
6	8	112
7	9	108
8	10	105
9	11	102
10	12	99
11	13	97
12	14	94
13	14	91
14	15	88
15	16	87
16	17	85
17	18	82
18	19	81
19	19	79
20	20	76
21	21	75
22	21	73
23	22	71
24	23	69
25	23	68
26	24	66
27	25	65
28	25	63
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
